time,coin,dir,px,sz,ntl,fee,closedPnl
14/04/2026 - 20:59:22,HYPE,Open Long,44.912,3.02,135.63424,0.058593,-0.058593
14/04/2026 - 21:00:06,ETH,Open Short,2373.1,0.0295,70.00644999999999,0.030242,-0.030242
14/04/2026 - 21:01:45,ETH,Open Short,2372.8,0.0199,47.218720000000005,0.020398,-0.020398
15/04/2026 - 10:24:55,ETH,Close Short,2336.4,0.0494,115.41816,0.04986,1.756698
18/05/2026 - 17:25:20,NVDA (xyz),Open Long,223.97,0.447,100.11459,0.008649,-0.008649
18/05/2026 - 18:15:33,HYPE,Close Long,45.502,0.75,34.1265,0.014742,0.427758
18/05/2026 - 22:54:22,NVDA (xyz),Open Long,230.27,1.379,317.54233,0.027435,-0.027435
20/05/2026 - 22:40:55,HYPE,Close Long,50.036,0.75,37.527,0.016211,3.8267889999999998
21/05/2026 - 16:06:03,GOOGL (xyz),Open Long,389.91,0.26,101.37660000000001,0.008758,-0.008758
21/05/2026 - 17:46:55,HYPE,Close Long,58.003,0.75,43.502250000000004,0.018792,9.799458000000001
21/05/2026 - 19:06:33,NVDA (xyz),Close Long,223.49,0.456,101.91144000000001,0.008805,-2.3968770000000004
21/05/2026 - 19:07:17,GOOGL (xyz),Open Long,389.86,0.259,100.97374,0.008724,-0.008724
22/05/2026 - 00:02:34,HYPE,Close Long,59.935,0.77,46.149950000000004,0.019936,11.547774
22/05/2026 - 16:56:25,HYPE/USDC,Buy,57.193,0.29,16.58597,0.00019487,-0.01114519991